"val"
"Protozoa"
"Zooplankton"
"Aphanocapsa"
"Chroococcus"
"Coelosphaerium"
"Aphanothece"
"Aphanizomenon"
"Cuspidothrix"
"Cyanodictyon"
"Coelomoron/Snowella"
"Dolichospermum"
"Komvophoran"
"Merismopedia"
"Microcystis"
"Cyanogranis"
"Cyanophyte"
"Nostocalean"
"Dactylococcopsis"
"Oscillatoria"
"Oscillatoriales"
"Phormidium"
"Cyanophyceae"
"Haptophyceae"
"Prymnesiophyceae"
"Conjugatophyceae"
"Xanthophyceae"
"Cryptophyceae"
"Misc"
"Pseudanabaena"
"Planktolyngbya"
"Romeria"
"Snowella"
"Planktothrix"
"Sphaerospemopsis"
"Spirulina"
"Synechococcus"
"Phytoplankton"
"Synechocystis"
"Bacillariophyceae"
"Unidentified"
"Charophyta"
"Woronichinia"
"Chlorophyceae"
"Cyano"
"Chrysophyceae"
"Euglenophyceae"
"Dinophyceae"
"Date"
