"Date","Site","TP.ugL","SRP.ugL","DP.ugL","PP.ugL","DOP.ugL","TN.mgL","NOx.mgL","NH4.mgL","DIN.mgL","SolN.mgL","Urea.mgL","DON.mgL","TON.mgL","TKN.mgL","TOC.mgL","SolOC.mgL","Cond","DO.per","Colour_PCU","Turb.NTU","Secchi_cm","Temp.C","pH","Phyco.ugL","TChl.ugL","TN_TP","DIN_SRP"
2013-12-23,"Lake_Outlet",73,42,58,15,16,1.483,0.41,0.26,0.67,NA,NA,NA,0.81,1.07,NA,NA,118,NA,NA,NA,NA,1.26,NA,NA,NA,44.9237933646432,35.2763499576903
2013-12-29,"Lake_Outlet",75,42,54,21,12,1.43,0.333,0.33,0.663,NA,NA,NA,0.76,1.09,NA,NA,117,123.4,NA,NA,NA,1.51,NA,NA,NA,42.163135889729,34.9077910775353
2014-01-05,"Lake_Outlet",70,44,58,12,14,1.584,0.368,0.28,0.648,NA,NA,NA,0.93,1.21,NA,NA,117,119.3,NA,NA,NA,1.43,NA,NA,NA,50.0397656713267,32.5672028646031
2014-01-12,"Lake_Outlet",77,43,74,3,31,1.607,0.327,0.33,0.657,NA,NA,NA,0.94,1.27,NA,NA,136,108,NA,NA,NA,1.51,NA,NA,NA,46.1512301617436,33.7874210597885
2014-01-19,"Lake_Outlet",48,18,26,22,8,1.479,0.456,0.06,0.516,NA,NA,NA,0.96,1.02,NA,NA,103,121.3,NA,NA,NA,0.78,NA,NA,NA,68.1373229686507,63.3921273866554
2014-01-26,"Lake_Outlet",62,21,55,7,34,1.221,0.408,0.08,0.488,NA,NA,NA,0.73,0.81,NA,NA,108,137.5,NA,NA,NA,1.04,NA,NA,NA,43.549392838957,51.387638147322
2014-02-02,"Lake_Outlet",67,26,64,3,38,1.353,0.45,0.15,0.6,NA,NA,NA,0.75,0.9,NA,NA,97,120.8,NA,NA,NA,1.25,NA,NA,NA,44.6561341656429,51.0312295599194
2014-02-09,"Lake_Outlet",53,25,24,29,24,1.193,0.467,0.15,0.617,NA,NA,NA,0.57,0.72,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,49.7763106443264,54.5761989733485
2014-02-16,"Lake_Outlet",76,26,39,37,13,1.29,0.517,0.18,0.697,NA,NA,NA,0.59,0.77,NA,NA,113,107.2,NA,NA,NA,1.46,NA,NA,NA,37.5348122684144,59.281278338773
2014-02-23,"Lake_Outlet",74,32,45,29,13,1.312,0.609,0.08,0.689,NA,NA,NA,0.62,0.7,NA,NA,117,98.3,NA,NA,NA,1.53,NA,NA,NA,39.2066960078372,47.6132003300206
2014-03-02,"Lake_Outlet",61,32,36,25,4,1.192,0.629,0.06,0.689,NA,NA,NA,0.5,0.56,NA,NA,114,95.4,NA,NA,NA,1.48,NA,NA,NA,43.2120182109569,47.6132003300206
2014-03-09,"Lake_Outlet",64,27,38,26,11,1.137,0.624,0.02,0.644,NA,NA,NA,0.49,0.51,NA,NA,203,NA,NA,NA,NA,1.5,NA,NA,NA,39.2860731315192,52.7448708488451
2014-03-16,"Lake_Outlet",76,31,45,31,14,1.218,0.645,0.02,0.665,NA,NA,NA,0.55,0.57,NA,NA,126,130.4,NA,NA,NA,1.39,NA,NA,NA,35.4398460022703,47.4370945747853
2014-03-22,"Lake_Outlet",86,34,47,39,13,1.137,0.604,0.003,0.607,NA,NA,NA,0.527,0.53,NA,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,29.236147446712,39.4791600448357
2014-04-06,"Lake_Outlet",105,36,48,57,12,1.216,0.445,0.13,0.575,NA,NA,NA,0.63,0.76,NA,NA,233,96.2,NA,NA,NA,1.09,NA,NA,NA,25.6095770439113,35.3202260148516
2014-04-13,"Lake_Outlet",108,24,41,67,17,0.991,0.308,0.11,0.418,NA,NA,NA,0.57,0.68,NA,NA,68,NA,NA,NA,NA,0.72,NA,NA,NA,20.2912139018655,38.5144029761947
2014-04-20,"Lake_Outlet",74,26,45,29,19,0.687,0.204,0.1,0.304,NA,NA,NA,0.38,0.48,NA,NA,80,137.4,NA,NA,NA,2.79,NA,NA,NA,20.5297257297135,25.8558229770258
2014-04-27,"Lake_Outlet",67,6,27,40,21,1.013,0.205,0.08,0.285,NA,NA,NA,0.72,0.8,NA,NA,76,120.5,NA,NA,NA,4.5,NA,NA,NA,33.4343413967452,105.039280844167
2014-05-04,"Lake_Outlet",79,1.5,21,58,19.5,0.684,0.133,0.03,0.163,NA,NA,NA,0.51,0.54,NA,NA,79,NA,NA,NA,NA,8.99,NA,NA,NA,19.1464005589369,240.300389861043
2014-05-11,"Lake_Outlet",60,1.5,17,43,15.5,0.773,0.01,0.03,0.04,NA,NA,NA,0.73,0.76,NA,NA,76,130.9,NA,NA,NA,13.22,NA,NA,NA,28.4896014359794,58.9694208247958
2014-05-18,"Lake_Outlet",77,1.5,16,61,14.5,0.833,0.01,0.03,0.04,NA,NA,NA,0.79,0.82,NA,NA,83,121.5,NA,NA,NA,18.11,NA,NA,NA,23.9228218573319,58.9694208247958
2014-05-25,"Lake_Outlet",64,1.5,15,49,13.5,0.903,0.01,0.03,0.04,NA,NA,NA,0.86,0.89,NA,NA,75,114.1,NA,NA,NA,20.25,NA,NA,NA,31.2008126981195,58.9694208247958
2014-06-01,"Lake_Outlet",76,4,23,53,19,1.286,0.01,0.07,0.08,NA,NA,NA,1.2,1.27,NA,NA,77,135.8,NA,NA,NA,17.67,NA,NA,NA,37.4184252536286,44.2270656185968
2014-06-08,"Lake_Outlet",115,1.5,29,86,27.5,1.993,0.036,0.1,0.136,NA,NA,NA,1.85,1.95,NA,NA,82,113.8,NA,NA,NA,21.64,NA,NA,NA,38.3237138164624,200.496030804306
2014-06-15,"Lake_Outlet",146,1.5,23,123,21.5,2.193,0.106,0.09,0.196,NA,NA,NA,1.99,2.08,NA,NA,75,114.7,NA,NA,NA,17.49,NA,NA,NA,33.2157379799941,288.950162041499
2014-06-24,"Lake_Outlet",124,1.5,23,101,21.5,1.528,0.025,1.5,1.525,NA,NA,NA,1.5,1.5,NA,NA,87,75,NA,NA,NA,18.86,NA,NA,NA,27.2495791392,2248.20916894534
2014-06-29,"Lake_Outlet",137,6,40,97,34,1.473,0.01,0.07,0.08,NA,NA,NA,1.39,1.46,NA,NA,74,114.5,NA,NA,NA,22.56,NA,NA,NA,23.7760830862019,29.4847104123979
2014-07-06,"Lake_Outlet",243,26,54,189,28,1.863,0.01,0.15,0.16,NA,NA,NA,1.7,1.85,NA,NA,80,100,NA,NA,NA,21.39,NA,NA,NA,16.9537084871288,13.6083278826452
2014-07-13,"Lake_Outlet",290,8,32,258,24,1.923,0.02,0.16,0.18,NA,NA,NA,1.74,1.9,NA,NA,79,78.6,NA,NA,NA,22.91,NA,NA,NA,14.6635598594072,49.7554488209214
2014-07-20,"Lake_Outlet",270,3,19,251,16,2.483,0.01,0.19,0.2,NA,NA,NA,2.28,2.47,NA,NA,74,111.4,NA,NA,NA,23.34,NA,NA,NA,20.3362599872178,147.423552061989
2014-07-27,"Lake_Outlet",422,9,35,387,26,2.833,0.01,0.22,0.23,NA,NA,NA,2.6,2.82,NA,NA,163,75.5,NA,NA,NA,22.2,NA,NA,NA,14.8454119546783,56.5123616237626
2014-08-03,"Lake_Outlet",311,1.5,29,282,27.5,3.153,0.01,0.13,0.14,NA,NA,NA,3.01,3.14,NA,NA,158,138.7,NA,NA,NA,29.1,NA,NA,NA,22.419282619845,206.392972886785
2014-08-10,"Lake_Outlet",330,3,23,307,20,2.813,0.01,0.1,0.11,NA,NA,NA,2.7,2.8,NA,NA,88,102.2,NA,NA,NA,23.29,NA,NA,NA,18.8501114522898,81.0829536340942
2014-08-17,"Lake_Outlet",483,15,41,442,26,3.723,0.01,0.11,0.12,NA,NA,NA,3.6,3.71,NA,NA,86,97.6,NA,NA,NA,19.01,NA,NA,NA,17.0452759107698,17.6908262474387
2014-08-24,"Lake_Outlet",378,11,40,338,29,2.823,0.01,0.11,0.12,NA,NA,NA,2.7,2.81,NA,NA,78,127.7,NA,NA,NA,22.37,NA,NA,NA,16.5149479155157,24.1238539737801
2014-08-31,"Lake_Outlet",597,29,35,562,6,3.3,0.027,0.13,0.157,NA,NA,NA,3.14,3.27,NA,NA,86,95.7,NA,NA,NA,20.51,NA,NA,NA,12.2235608493609,11.9718091415857
2014-09-07,"Lake_Outlet",320,24,52,268,28,2.983,0.01,0.13,0.14,NA,NA,NA,2.84,2.97,NA,NA,79,109.8,NA,NA,NA,20.75,NA,NA,NA,20.6139588656679,12.8995608054241
2014-09-14,"Lake_Outlet",483,16,47,436,31,3.063,0.01,0.14,0.15,NA,NA,NA,2.91,3.05,NA,NA,89,110.7,NA,NA,NA,13.85,NA,NA,NA,14.0235509306172,20.7314370087173
2014-09-21,"Lake_Outlet",389,9,27,362,18,2.823,0.01,0.14,0.15,NA,NA,NA,2.67,2.81,NA,NA,83,113.8,NA,NA,NA,13.4,NA,NA,NA,16.0479442469536,36.8558880154974
2014-09-28,"Lake_Outlet",596,3,21,575,18,3.391,0.01,0.09,0.1,NA,NA,NA,3.28,3.37,NA,NA,101,83.5,NA,NA,NA,15.65,NA,NA,NA,12.5817096906595,73.7117760309947
2014-10-05,"Lake_Outlet",383,1.5,23,360,21.5,2.683,0.01,0.12,0.13,NA,NA,NA,2.55,2.67,NA,NA,85,102,NA,NA,NA,14.69,NA,NA,NA,15.4910205032239,191.650617680586
2014-10-12,"Lake_Outlet",308,1.5,18,290,16.5,2.368,0.01,0.11,0.12,NA,NA,NA,2.24,2.35,NA,NA,103,119.7,NA,NA,NA,10.26,NA,NA,NA,17.0015732767593,176.908262474387
2014-10-19,"Lake_Outlet",301,1.5,28,273,26.5,2.063,0.01,0.07,0.08,NA,NA,NA,1.98,2.05,NA,NA,96,124.2,NA,NA,NA,12.07,NA,NA,NA,15.1562186663065,117.938841649592
2014-10-25,"Lake_Outlet",258,14,39,219,25,1.997,0.054,0.08,0.134,NA,NA,NA,1.86,1.94,NA,NA,88,106.3,NA,NA,NA,9.84,NA,NA,NA,17.1165600853368,21.1658099746142
2014-11-02,"Lake_Outlet",225,11,38,187,27,1.858,0.105,0.1,0.205,NA,NA,NA,1.65,1.75,NA,NA,104,116.4,NA,NA,NA,5.68,NA,NA,NA,18.2608639820784,41.2115838718743
2014-11-09,"Lake_Outlet",197,6,29,168,23,1.759,0.133,0.12,0.253,NA,NA,NA,1.5,1.62,NA,NA,102,122.4,NA,NA,NA,3.65,NA,NA,NA,19.7450275185563,93.2453966792083
2014-11-16,"Lake_Outlet",230,36,53,177,17,1.747,0.201,0.19,0.391,NA,NA,NA,1.35,1.54,NA,NA,110,118,NA,NA,NA,1.8,NA,NA,NA,16.7966703555845,24.0177536900991
2014-11-23,"Lake_Outlet",185,42,55,130,13,1.573,0.22,0.24,0.46,NA,NA,NA,1.11,1.35,NA,NA,123,125.6,NA,NA,NA,0.62,NA,NA,NA,18.8024795183926,24.2195835530411
2014-11-30,"Lake_Outlet",171,38,66,105,28,1.489,0.396,0.26,0.656,NA,NA,NA,0.83,1.09,NA,NA,110,117.7,NA,NA,NA,0.93,NA,NA,NA,19.2555850017809,38.1749408497362
2014-12-07,"Lake_Outlet",172,35,65,107,30,1.912,0.386,0.19,0.576,NA,NA,NA,1.33,1.52,NA,NA,200,118.1,NA,NA,NA,1.25,NA,NA,NA,24.582020192662,36.392556851874
2014-12-14,"Lake_Outlet",143,30,58,85,28,1.687,0.348,0.15,0.498,NA,NA,NA,1.18,1.33,NA,NA,116,118.7,NA,NA,NA,1.37,NA,NA,NA,26.0877831113891,36.7084644634354
2014-12-21,"Lake_Outlet",101,19,35,66,16,1.476,0.373,0.09,0.463,NA,NA,NA,1.01,1.1,NA,NA,93,128.2,NA,NA,NA,1.1,NA,NA,NA,32.3164103232915,53.8871878458166
2014-12-30,"Lake_Outlet",104,55,69,35,14,1.19,0.407,0.07,0.477,NA,NA,NA,0.71,0.78,NA,NA,63,120.4,NA,NA,NA,1.33,NA,NA,NA,25.3029846567934,19.1784639091552
2015-01-04,"Lake_Outlet",109,48,64,45,16,1.275,0.522,0.02,0.542,NA,NA,NA,0.73,0.75,NA,NA,86,135,NA,NA,NA,1.4,NA,NA,NA,25.8667470934454,24.9698641304995
2015-01-11,"Lake_Outlet",93,42,62,31,20,1.278,0.635,0.07,0.705,NA,NA,NA,0.57,0.64,NA,NA,99,180.8,NA,NA,NA,1.5,NA,NA,NA,30.3882741185843,37.1191443584652
2015-01-18,"Lake_Outlet",91,40,57,34,17,1.31,0.534,0.09,0.624,NA,NA,NA,0.68,0.77,NA,NA,102,138.1,NA,NA,NA,1.41,NA,NA,NA,31.8337670111878,34.4971111825055
2015-01-25,"Lake_Outlet",91,35,49,42,14,1.279,0.486,0.14,0.626,NA,NA,NA,0.65,0.79,NA,NA,92,104.2,NA,NA,NA,1.7,NA,NA,NA,31.0804488605414,39.551632967488
2015-02-01,"Lake_Outlet",101,38,57,44,19,1.125,0.429,0.15,0.579,NA,NA,NA,0.54,0.69,NA,NA,125,111.7,NA,NA,NA,1.53,NA,NA,NA,24.6314103073868,33.6940407804836
2015-02-08,"Lake_Outlet",102,39,57,45,18,1.24,0.497,0.15,0.647,NA,NA,NA,0.59,0.74,NA,NA,120,117.2,NA,NA,NA,1.42,NA,NA,NA,26.8831183171863,36.6857839169643
2015-02-15,"Lake_Outlet",93,39,62,31,23,1.291,0.542,0.14,0.682,NA,NA,NA,0.6,0.74,NA,NA,120,108.9,NA,NA,NA,1.36,NA,NA,NA,30.6973880180691,38.6703317331834
2015-02-22,"Lake_Outlet",89,33,58,31,25,1.052,0.579,0.12,0.699,NA,NA,NA,0.35,0.47,NA,NA,154,96.7,NA,NA,NA,1.56,NA,NA,NA,26.1386927139123,46.840483132423
2015-03-08,"Lake_Outlet",96,29,48,48,19,1.198,0.655,0.04,0.695,NA,NA,NA,0.5,0.54,NA,NA,124,83.3,NA,NA,NA,1.5,NA,NA,NA,27.5958461516036,52.9962251809048
2015-03-15,"Lake_Outlet",108,42,50,58,8,1.118,0.635,0.06,0.695,NA,NA,NA,0.42,0.48,NA,NA,127,80.8,NA,NA,NA,1.71,NA,NA,NA,22.8916015562922,36.5926316725295
2015-03-23,"Lake_Outlet",89,26,35,54,9,1.036,0.573,0.05,0.623,NA,NA,NA,0.41,0.46,NA,NA,228,68.5,NA,NA,NA,1.47,NA,NA,NA,25.7411460566665,52.9874266930496
2015-03-29,"Lake_Outlet",84,28,39,45,11,1.029,0.596,0.05,0.646,NA,NA,NA,0.38,0.43,NA,NA,151,129.5,NA,NA,NA,1.62,NA,NA,NA,27.0890776913905,51.019079267167
2015-04-05,"Lake_Outlet",83,19,41,42,22,1.461,0.588,0.15,0.738,NA,NA,NA,0.72,0.87,NA,NA,117,69.5,NA,NA,NA,1.47,NA,NA,NA,38.9251463064879,85.8936169119064
2015-04-12,"Lake_Outlet",110,26,60,50,34,1.015,0.322,0.19,0.512,NA,NA,NA,0.5,0.69,NA,NA,74,119.3,NA,NA,NA,1.02,NA,NA,NA,20.404759819489,43.5466492244646
2015-04-19,"Lake_Outlet",67,9,30,37,21,0.733,0.18,0.08,0.26,NA,NA,NA,0.47,0.55,NA,NA,47,109,NA,NA,NA,3.87,NA,NA,NA,24.1928649988295,63.8835392268621
2015-04-26,"Lake_Outlet",71,8,28,43,20,0.544,0.241,0.08,0.321,NA,NA,NA,0.22,0.3,NA,NA,67,107.9,NA,NA,NA,3.61,NA,NA,NA,16.9433265468427,88.7305503973099
2015-05-03,"Lake_Outlet",92,1.5,26,66,24.5,0.787,0.054,0.07,0.124,NA,NA,NA,0.66,0.73,NA,NA,97,110.5,NA,NA,NA,12.18,NA,NA,NA,18.9166851314324,182.805204556867
2015-05-10,"Lake_Outlet",71,1.5,22,49,20.5,0.793,0.01,0.03,0.04,NA,NA,NA,0.75,0.78,NA,NA,92,103.9,NA,NA,NA,18.59,NA,NA,NA,24.6986359405263,58.9694208247958
2015-05-17,"Lake_Outlet",69,1.5,19,50,17.5,0.706,0.01,0.04,0.05,NA,NA,NA,0.65,0.69,NA,NA,103,86.7,NA,NA,NA,17.56,NA,NA,NA,22.6263103816879,73.7117760309947
2015-05-24,"Lake_Outlet",101,1.5,10,91,8.5,1.023,0.01,0.05,0.06,NA,NA,NA,0.96,1.01,NA,NA,93,99.2,NA,NA,NA,14.45,NA,NA,NA,22.3981624395171,88.4541312371936
2015-05-31,"Lake_Outlet",131,1.5,15,116,13.5,1.383,0.01,0.03,0.04,NA,NA,NA,1.34,1.37,NA,NA,93,86.9,NA,NA,NA,19.51,NA,NA,NA,23.3458136452364,58.9694208247958
2015-06-07,"Lake_Outlet",132,1.5,17,115,15.5,1.483,0.01,0.08,0.09,NA,NA,NA,1.39,1.47,NA,NA,91,101.6,NA,NA,NA,17.17,NA,NA,NA,24.8442190577193,132.68119685579
2015-06-14,"Lake_Outlet",203,1.5,24,179,22.5,2.933,0.01,0.09,0.1,NA,NA,NA,2.83,2.92,NA,NA,79,87,NA,NA,NA,20.9,NA,NA,NA,31.9502422313656,147.423552061989
2015-06-21,"Lake_Outlet",143,3,29,114,26,1.573,0.01,0.08,0.09,NA,NA,NA,1.48,1.56,NA,NA,NA,102.5,NA,NA,NA,20.87,NA,NA,NA,24.3248860902282,66.3405984278952
2015-06-28,"Lake_Outlet",165,9,25,140,16,1.733,0.01,0.03,0.04,NA,NA,NA,1.69,1.72,NA,NA,171,83,NA,NA,NA,20.85,NA,NA,NA,23.2259105203116,9.82823680413263
2015-07-05,"Lake_Outlet",228,7,34,194,27,2.113,0.01,0.1,0.11,NA,NA,NA,2,2.1,NA,NA,170,81.2,NA,NA,NA,22.09,NA,NA,NA,20.4938135201963,34.7498372717546
2015-07-13,"Lake_Outlet",231,1.5,24,207,22.5,2.243,0.01,0.08,0.09,NA,NA,NA,2.15,2.23,NA,NA,187,85.9,NA,NA,NA,24.26,NA,NA,NA,21.4721446282495,132.68119685579
2015-07-19,"Lake_Outlet",293,11,32,261,21,2.283,0.01,0.1,0.11,NA,NA,NA,2.17,2.27,NA,NA,182,84.7,NA,NA,NA,22.03,NA,NA,NA,17.2304421172793,22.1135328092984
2015-07-27,"Lake_Outlet",219,20,40,179,20,1.893,0.01,0.1,0.11,NA,NA,NA,1.78,1.88,NA,NA,174,92.3,NA,NA,NA,21.81,NA,NA,NA,19.1145742502292,12.1624430451141
2015-08-02,"Lake_Outlet",212,27,44,168,17,1.833,0.01,0.08,0.09,NA,NA,NA,1.74,1.82,NA,NA,182,81.5,NA,NA,NA,22.38,NA,NA,NA,19.1198611506811,7.37117760309947
2015-08-09,"Lake_Outlet",304,38,51,253,13,2.143,0.01,0.1,0.11,NA,NA,NA,2.03,2.13,NA,NA,171,82.5,NA,NA,NA,21.47,NA,NA,NA,15.5885857928706,6.40128581321796
2015-08-16,"Lake_Outlet",250,34,57,193,23,1.773,0.01,0.09,0.1,NA,NA,NA,1.67,1.76,NA,NA,181,85.3,NA,NA,NA,22.79,NA,NA,NA,15.6829174683544,6.50398023802894
2015-08-23,"Lake_Outlet",310,41,58,252,17,2.243,0.01,0.08,0.09,NA,NA,NA,2.15,2.23,NA,NA,183,69.5,NA,NA,NA,24.05,NA,NA,NA,16.0002109971795,4.85419012887038
2015-08-30,"Lake_Outlet",355,21,39,316,18,2.733,0.01,0.06,0.07,NA,NA,NA,2.66,2.72,NA,NA,157,85.7,NA,NA,NA,22.25,NA,NA,NA,17.024305681074,7.37117760309947
2015-09-06,"Lake_Outlet",309,17,31,278,14,2.533,0.01,0.07,0.08,NA,NA,NA,2.45,2.52,NA,NA,180,77.8,NA,NA,NA,21.5,NA,NA,NA,18.1273717171368,10.4063683808463
2015-09-13,"Lake_Outlet",388,1.5,20,368,18.5,3.833,0.01,0.04,0.05,NA,NA,NA,3.78,3.82,NA,NA,183,85.7,NA,NA,NA,22.23,NA,NA,NA,21.8456626953713,73.7117760309947
2015-09-20,"Lake_Outlet",356,41,61,295,20,3.733,0.01,0.04,0.05,NA,NA,NA,3.68,3.72,NA,NA,96,98.8,NA,NA,NA,20.82,NA,NA,NA,23.188151117166,2.69677229381688
2015-09-27,"Lake_Outlet",340,5,19,321,14,3.403,0.01,0.14,0.15,NA,NA,NA,3.25,3.39,NA,NA,87,107.5,NA,NA,NA,15.53,NA,NA,NA,22.1330447500125,66.3405984278952
2015-10-04,"Lake_Outlet",287,20,33,254,13,3.143,0.01,0.1,0.11,NA,NA,NA,3.03,3.13,NA,NA,95,110.8,NA,NA,NA,10.66,NA,NA,NA,24.2170151984756,12.1624430451141
2015-10-12,"Lake_Outlet",256,13,16,240,3,2.653,0.01,0.12,0.13,NA,NA,NA,2.52,2.64,NA,NA,91,95.3,NA,NA,NA,11.2,NA,NA,NA,22.9168759933862,22.1135328092984
2015-10-18,"Lake_Outlet",222,13,29,193,16,2.544,0.021,0.08,0.101,NA,NA,NA,2.44,2.52,NA,NA,112,105.2,NA,NA,NA,7.26,NA,NA,NA,25.3409132733582,17.1805139518395
2015-10-25,"Lake_Outlet",232,11,28,204,17,2.31,0.057,0.09,0.147,NA,NA,NA,2.16,2.25,NA,NA,122,107.3,NA,NA,NA,6.78,NA,NA,NA,22.0182158575342,29.5517211178806
2015-11-01,"Lake_Outlet",221,18,54,167,36,2.164,0.271,0.09,0.361,NA,NA,NA,1.8,1.89,NA,NA,117,140.6,NA,NA,NA,6.09,NA,NA,NA,21.6532511309148,44.3499185786485
2015-11-08,"Lake_Outlet",204,27,52,152,25,2.048,0.245,0.17,0.415,NA,NA,NA,1.63,1.8,NA,NA,94,100.6,NA,NA,NA,7.71,NA,NA,NA,22.2002525458055,33.9893189476253
2015-11-15,"Lake_Outlet",193,18,60,133,42,1.876,0.3,0.19,0.49,NA,NA,NA,1.38,1.57,NA,NA,102,104.9,NA,NA,NA,5.08,NA,NA,NA,21.4948122021989,60.1979504253123
2015-11-22,"Lake_Outlet",182,42,76,106,34,1.965,0.372,0.2,0.572,NA,NA,NA,1.39,1.59,NA,NA,NA,94.5,NA,NA,NA,4.56,NA,NA,NA,23.8753252583909,30.1165256355207
2015-11-29,"Lake_Outlet",157,36,60,97,24,1.876,0.423,0.21,0.633,NA,NA,NA,1.24,1.45,NA,NA,104,135.4,NA,NA,NA,2.06,NA,NA,NA,26.4235589491999,38.8829618563497
2015-12-06,"Lake_Outlet",130,32,51,79,19,1.605,0.432,0.14,0.572,NA,NA,NA,1.03,1.17,NA,NA,113,101.4,NA,NA,NA,2.36,NA,NA,NA,27.3017078145569,39.5279398966209
2015-12-13,"Lake_Outlet",122,28,49,73,21,1.575,0.432,0.1,0.532,NA,NA,NA,1.04,1.14,NA,NA,112,98.2,NA,NA,NA,3.23,NA,NA,NA,28.5482083398729,42.015712337667
2015-12-20,"Lake_Outlet",112,24,41,71,17,1.436,0.453,0.05,0.503,NA,NA,NA,0.93,0.98,NA,NA,129,101.9,NA,NA,NA,0.63,NA,NA,NA,28.3527081376362,46.3462791794879
2015-12-27,"Lake_Outlet",97,27,27,70,27,1.334,0.451,0.05,0.501,NA,NA,NA,0.83,0.88,NA,NA,118,97.6,NA,NA,NA,2.89,NA,NA,NA,30.4118069769114,41.0328886572537
2016-01-03,"Lake_Outlet",74,17,33,41,16,1.32,0.447,0.05,0.497,NA,NA,NA,0.82,0.87,NA,NA,93,104.9,NA,NA,NA,0.66,NA,NA,NA,39.4457612273972,64.6495635660077
2016-01-10,"Lake_Outlet",80,17,39,41,22,1.332,0.469,0.04,0.509,NA,NA,NA,0.82,0.86,NA,NA,104,114.8,NA,NA,NA,0.82,NA,0.022,4.293,36.8190321274818,66.2105188231346
2016-01-17,"Lake_Outlet",78,33,53,25,20,1.352,0.719,0.04,0.759,NA,NA,NA,0.59,0.63,NA,NA,90,119,NA,NA,NA,0.82,NA,0.008,2.214,38.3301235361172,50.8611254613863
2016-01-24,"Lake_Outlet",72,27,49,23,22,1.211,0.568,0.06,0.628,NA,NA,NA,0.58,0.64,NA,NA,135,114.4,NA,NA,NA,1.02,NA,0.007,2.41,37.1937336556394,51.4344392749607
2016-01-31,"Lake_Outlet",51,26,42,9,16,1.224,0.601,0.07,0.671,NA,NA,NA,0.55,0.62,NA,NA,112,106.3,NA,NA,NA,1.16,NA,0.009,2.086,53.0724787423162,57.0699250578432
2016-02-06,"Lake_Outlet",66,21,36,30,15,1.202,0.679,0.05,0.729,NA,NA,NA,0.47,0.52,NA,NA,84,139.6,NA,NA,NA,0.97,NA,0.007,2.852,40.2734339951162,76.7655496094216
2016-02-15,"Lake_Outlet",52,19,32,20,13,1.121,0.598,0.05,0.648,NA,NA,NA,0.47,0.52,NA,NA,95,130.6,NA,NA,NA,0.97,NA,0.007,2.178,47.6716736138914,75.4187855811862
2016-02-21,"Lake_Outlet",66,12,25,41,13,1.135,0.492,0.1,0.592,NA,NA,NA,0.54,0.64,NA,NA,114,97.2,NA,NA,NA,1.66,NA,0.016,6.39,38.028575361445,109.093428525872
2016-02-28,"Lake_Outlet",54,7,23,31,16,0.71,0.277,0.03,0.307,NA,NA,NA,0.4,0.43,NA,NA,58,107.1,NA,NA,NA,0.84,NA,0.006,2.809,29.075200545559,96.9836367493516
2016-03-06,"Lake_Outlet",41,3,20,21,17,0.89,0.207,0.04,0.247,NA,NA,NA,0.64,0.68,NA,NA,87,133.9,NA,NA,NA,0.92,NA,0.028,18.127,48.0025468299404,182.068086796557
2016-03-13,"Lake_Outlet",62,6,17,45,11,0.791,0.338,0.04,0.378,NA,NA,NA,0.41,0.45,NA,NA,68,85.5,NA,NA,NA,1.26,NA,0.008,1.974,28.2125878260565,139.31525669858
2016-03-20,"Lake_Outlet",25,1.5,15,10,13.5,0.761,0.258,0.02,0.278,NA,NA,NA,0.48,0.5,NA,NA,63,100.1,NA,NA,NA,2.44,NA,0.005,1.967,67.3135938715044,409.837474732331
2016-03-28,"Lake_Outlet",48,1.5,13,35,11.5,0.652,0.139,0.03,0.169,NA,NA,NA,0.48,0.51,NA,NA,64,94.2,NA,NA,NA,3.6,NA,0.012,3.815,30.0375487326303,249.145802984762
2016-04-03,"Lake_Outlet",66,1.5,14,52,12.5,0.911,0.238,0.05,0.288,NA,NA,NA,0.62,0.67,NA,NA,74,102.1,NA,NA,NA,4.03,NA,0.01,3.93,30.5233763473801,424.579829938529
2016-04-10,"Lake_Outlet",51,3,31,20,28,0.734,0.131,0.03,0.161,NA,NA,NA,0.57,0.6,NA,NA,73,100.4,NA,NA,NA,3.61,NA,0.013,5.117,31.8261432980883,118.675959409901
2016-04-24,"Lake_Outlet",50,1.5,15,35,13.5,0.703,0.01,0.05,0.06,NA,NA,NA,0.64,0.69,NA,NA,105,89.3,NA,NA,NA,10.11,NA,0.015,3.533,31.0916271298736,88.4541312371936
2016-05-01,"Lake_Outlet",70,1.5,15,55,13.5,0.773,0.01,0.05,0.06,NA,NA,NA,0.71,0.76,NA,NA,95,89.2,NA,NA,NA,12.01,NA,0.013,2.934,24.4196583736967,88.4541312371936
2016-05-08,"Lake_Outlet",82,1.5,11,71,9.5,0.753,0.01,0.04,0.05,NA,NA,NA,0.7,0.74,NA,NA,91,82,NA,NA,NA,13.26,NA,0.019,4.878,20.3066953724411,73.7117760309947
2016-05-15,"Lake_Outlet",68,1.5,21,47,19.5,0.793,0.01,0.02,0.03,NA,NA,NA,0.76,0.78,NA,NA,95,75.7,NA,NA,NA,14.63,NA,0.02,5.271,25.7882816437848,44.2270656185968
2016-05-22,"Lake_Outlet",54,1.5,18,36,16.5,0.963,0.01,0.05,0.06,NA,NA,NA,0.9,0.95,NA,NA,104,73.6,NA,NA,NA,18.92,NA,0.015,3.156,39.4358001765822,88.4541312371936
