ID,GenusSpp,GenusSpp_clean
155,Desmodesmus brasiliensis,Desmodesmus brasiliensis
156,Desmodesmus sp,Desmodesmus sp
157,Monoraphidium griffithi,Monoraphidium griffithi
158,Tetraspra sp,Tetraspra sp
159,Aphanocapsa planctonica,Aphanocapsa planctonica
160,Chroococcus limneticus,Chroococcus limneticus
161,Snowella litoralis,Snowella litoralis
162,Aulacoseira pusilla,Aulacoseira pusilla
163,Closteriopsis acicularis,Closteriopsis acicularis
164,Crucigenia truncata ,Crucigenia truncata 
165,Pediastrum simplex,Pediastrum simplex
166,Aphanizomenon sp,Aphanizomenon sp
167,Chroococcus microscopicus,Chroococcus microscopicus
168,Microcystis sp,Microcystis sp
169,Kirchneriella irregularis,Kirchneriella irregularis
170,Scenedesmus sp,Scenedesmus sp
171,Tetrastrum staurogeniiforme,Tetrastrum staurogeniiforme
172,Tetrastrum triangulare,Tetrastrum triangulare
173,Strombomonas sp,Strombomonas sp
174,Chrysochromulina parva,Chrysochromulina parva
175,Fragilaria,Fragilaria
176,Desmodesmus,Desmodesmus
177,Oocystis,Oocystis
178,Microcystis,Microcystis
179,Cocconeis,Cocconeis
180,Aphanothece,Aphanothece
181,Misc. dinoflagellates,dinoflagellate
182,Unidentified centric chain,UNK
183,Acutodesmus acuminatus,Acutodesmus acuminatus
184,Coenococcus planctonicus,Coenococcus planctonicus
185,Crucigenia quadrata,Crucigenia quadrata
186,Eudorina elegans,Eudorina elegans
187,Gloeocystis sp,Gloeocystis sp
188,"Green speres, solitary",UNK
189,Kirchneriella lunaris,Kirchneriella lunaris
190,Lagerheimia sp,Lagerheimia sp
191,Micractinium pusillum ,Micractinium pusillum 
192,Monoraphidium irregulare,Monoraphidium irregulare
193,Oocystis sp,Oocystis sp
194,Tetrabaena socialis,Tetrabaena socialis
195,Dolichosprmum circinalis,Dolichosprmum circinalis
196,Colonial greens,Colonial greens
197,Crucigenia sp,Crucigenia sp
